relation_id,start_id,start_label,end_id,end_label,times
196197,2169,Tweet,97432,User,
196198,2173,Tweet,96570,User,
196199,2174,Tweet,97433,User,
196200,2176,Tweet,69701,User,
196201,2179,Tweet,58074,User,
196202,2182,Tweet,69701,User,
196203,2183,Tweet,64138,User,
196204,2187,Tweet,59020,User,
196205,2187,Tweet,58052,User,
196206,2206,Tweet,58987,User,
196207,2209,Tweet,62755,User,
196208,2210,Tweet,92190,User,
196209,2220,Tweet,97412,User,
196210,2221,Tweet,97439,User,
196211,2226,Tweet,97440,User,
196212,2233,Tweet,97294,User,
196213,2236,Tweet,97442,User,
196214,2237,Tweet,97443,User,
196215,2238,Tweet,97238,User,
196216,2239,Tweet,97444,User,
196217,2240,Tweet,63222,User,
196218,2241,Tweet,92190,User,
196219,2244,Tweet,97445,User,
196220,2248,Tweet,97446,User,
196221,2248,Tweet,59250,User,
196222,2252,Tweet,96570,User,
196223,2254,Tweet,59020,User,
196224,2255,Tweet,59020,User,
196225,2258,Tweet,97447,User,
196226,2258,Tweet,56743,User,
196227,2261,Tweet,97448,User,
196228,2261,Tweet,98151,User,
196229,2264,Tweet,97449,User,
196230,2268,Tweet,57910,User,
196231,2269,Tweet,97450,User,
196232,2269,Tweet,57263,User,
196233,2270,Tweet,64970,User,
196234,2276,Tweet,59020,User,
196235,2278,Tweet,56578,User,
196236,2280,Tweet,58108,User,
196237,2282,Tweet,56743,User,
196238,2290,Tweet,64463,User,
196239,2292,Tweet,97453,User,
196240,2298,Tweet,58179,User,
196241,2299,Tweet,97454,User,
196242,2300,Tweet,97154,User,
196243,2301,Tweet,97455,User,
196244,2310,Tweet,59020,User,
196245,2311,Tweet,97458,User,
196246,2312,Tweet,59020,User,
196247,2313,Tweet,64463,User,
196248,2314,Tweet,59020,User,
196249,2320,Tweet,97436,User,
196250,2320,Tweet,97317,User,
196251,2321,Tweet,63213,User,
196252,2324,Tweet,57910,User,
196253,2324,Tweet,97258,User,
196254,2325,Tweet,97459,User,
196255,2326,Tweet,66576,User,
196256,2326,Tweet,58206,User,
196257,2328,Tweet,97460,User,
196258,2330,Tweet,57910,User,
196259,2330,Tweet,97258,User,
196260,2331,Tweet,57263,User,
196261,2341,Tweet,79286,User,
196262,2345,Tweet,97462,User,
196263,2345,Tweet,97458,User,
196264,2348,Tweet,57587,User,
196265,2348,Tweet,96531,User,
196266,2351,Tweet,57626,User,
196267,2354,Tweet,57775,User,
196268,2360,Tweet,57654,User,
196269,2361,Tweet,56965,User,
196270,2361,Tweet,97449,User,
196271,2365,Tweet,57263,User,
196272,2367,Tweet,59020,User,
196273,2368,Tweet,97466,User,
196274,2374,Tweet,58051,User,
196275,2375,Tweet,97468,User,
196276,2381,Tweet,97409,User,
196277,2385,Tweet,92190,User,
196278,2386,Tweet,56638,User,
196279,2390,Tweet,58313,User,
196280,2391,Tweet,86531,User,
196281,2393,Tweet,58317,User,
196282,2394,Tweet,58317,User,
196283,2396,Tweet,97470,User,
196284,2398,Tweet,58298,User,
196285,2399,Tweet,60844,User,
196286,2400,Tweet,58712,User,
196287,2401,Tweet,97529,User,
196288,2403,Tweet,58501,User,
196289,2404,Tweet,58484,User,
196290,2405,Tweet,58484,User,
196291,2410,Tweet,58298,User,
196292,2410,Tweet,66618,User,
196293,2411,Tweet,58501,User,
196294,2412,Tweet,97472,User,
196295,2413,Tweet,58780,User,
196296,2414,Tweet,58269,User,
196297,2417,Tweet,58317,User,
196298,2419,Tweet,58602,User,
196299,2420,Tweet,58597,User,
196300,2421,Tweet,58338,User,
196301,2421,Tweet,58317,User,
196302,2423,Tweet,58501,User,
196303,2424,Tweet,58317,User,
196304,2427,Tweet,58317,User,
196305,2430,Tweet,58317,User,
196306,2432,Tweet,58578,User,
196307,2433,Tweet,67058,User,
196308,2436,Tweet,87933,User,
196309,2436,Tweet,58501,User,
196310,2438,Tweet,58317,User,
196311,2440,Tweet,60844,User,
196312,2441,Tweet,97475,User,
196313,2443,Tweet,58317,User,
196314,2444,Tweet,97476,User,
196315,2445,Tweet,58501,User,
196316,2448,Tweet,58317,User,
196317,2449,Tweet,58572,User,
196318,2450,Tweet,58597,User,
196319,2451,Tweet,97477,User,
196320,2453,Tweet,86531,User,
196321,2454,Tweet,58780,User,
196322,2457,Tweet,58501,User,
196323,2461,Tweet,58501,User,
196324,2467,Tweet,58330,User,
196325,2468,Tweet,65124,User,
196326,2472,Tweet,63142,User,
196327,2473,Tweet,97479,User,
196328,2474,Tweet,58317,User,
