reply_to_id,start_id,start_label,end_id,end_label
193817,17962,Tweet,71575,User
193818,18040,Tweet,71463,User
193819,18042,Tweet,96452,User
193820,18056,Tweet,75441,User
193821,18057,Tweet,96126,User
193822,18066,Tweet,72065,User
193823,18119,Tweet,71708,User
193824,18124,Tweet,96126,User
193825,18143,Tweet,97773,User
193826,18147,Tweet,71732,User
193827,18150,Tweet,96278,User
193828,18204,Tweet,96126,User
193829,18205,Tweet,96624,User
193830,18259,Tweet,96278,User
193831,18387,Tweet,97669,User
193832,18404,Tweet,58461,User
193833,18421,Tweet,71923,User
193834,18440,Tweet,71973,User
193835,18454,Tweet,96153,User
193836,18459,Tweet,97897,User
193837,18518,Tweet,72047,User
193838,18533,Tweet,73195,User
193839,18537,Tweet,70353,User
193840,18546,Tweet,96126,User
193841,18553,Tweet,71211,User
193842,18560,Tweet,96126,User
193843,18571,Tweet,96324,User
193844,18572,Tweet,89460,User
